/Users/adavidbailey/Practice-Bidding-Scenarios/BBA/rule18.csv
ID,Date,Board,North,South,East,West,Result,Score,IMPs,OptimumResult,ParScore,VsPar,DDBidding,DDPlay
161,2024.07.20,161,EPBot1,EPBot3,EPBot2,EPBot4,"3H N =",140,0.00%,"4H NS",420,-7,"We missed game",-1
162,2024.07.20,162,EPBot1,EPBot3,EPBot2,EPBot4,"2N N +1",150,0.00%,"4S NS",620,-10,"We missed game",+1
163,2024.07.20,163,EPBot1,EPBot3,EPBot2,EPBot4,"3N N =",400,0.00%,"1N NS+1",120,7,"We overbid - undoubled",+1
164,2024.07.20,164,EPBot1,EPBot3,EPBot2,EPBot4,"4S N -1",-50,0.00%,"4S NS",420,-10,"Par was bid",-1
165,2024.07.20,165,EPBot1,EPBot3,EPBot2,EPBot4,"1N N +1",120,0.00%,"2N NS",120,0,"They missed sacrifice",-
166,2024.07.20,166,EPBot1,EPBot3,EPBot2,EPBot4,"3N N -1",-50,0.00%,"1N NS+1",120,-5,"We overbid - undoubled",-
167,2024.07.20,167,EPBot1,EPBot3,EPBot2,EPBot4,"3S W -1",100,0.00%,"3CX NS-1",-100,5,"They overbid - undoubled",-
168,2024.07.20,168,EPBot1,EPBot3,EPBot2,EPBot4,"2N N =",120,0.00%,"1N NS+1",120,0,"Par was bid",-
169,2024.07.20,169,EPBot1,EPBot3,EPBot2,EPBot4,"2N N =",120,0.00%,"3N NS",400,-7,"We missed game",-1
170,2024.07.20,170,EPBot1,EPBot3,EPBot2,EPBot4,"4S N =",420,0.00%,"4S NS",420,0,"Par was bid",-
171,2024.07.20,171,EPBot1,EPBot3,EPBot2,EPBot4,"2N N =",120,0.00%,"3DX EW-1",100,1,"We overbid - undoubled",+1
172,2024.07.20,172,EPBot1,EPBot3,EPBot2,EPBot4,"3N N =",600,0.00%,"4SX EW-1",100,11,"We missed partial",+3
173,2024.07.20,173,EPBot1,EPBot3,EPBot2,EPBot4,"4S N -1",-100,0.00%,"1S NS+2",140,-6,"We overbid - undoubled",-
174,2024.07.20,174,EPBot1,EPBot3,EPBot2,EPBot4,"4S N =",420,0.00%,"1S NS+2",140,7,"We overbid - undoubled",+1
175,2024.07.20,175,EPBot1,EPBot3,EPBot2,EPBot4,"2N N =",120,0.00%,"1H NS+2",140,-1,"We missed best contract",-
176,2024.07.20,176,EPBot1,EPBot3,EPBot2,EPBot4,"3N N -1",-50,0.00%,"4H S",420,-10,"We missed game",+1
177,2024.07.20,177,EPBot1,EPBot3,EPBot2,EPBot4,"2N N =",120,0.00%,"3N NS",400,-7,"We missed game",-1
178,2024.07.20,178,EPBot1,EPBot3,EPBot2,EPBot4,"2N N =",120,0.00%,"5C NS",600,-10,"We missed game",-
179,2024.07.20,179,EPBot1,EPBot3,EPBot2,EPBot4,"1N N +1",120,0.00%,"3N NS",400,-7,"We missed game",-1
180,2024.07.20,180,EPBot1,EPBot3,EPBot2,EPBot4,"2N N =",120,0.00%,"3N NS",400,-7,"We missed game",-1
181,2024.07.20,181,EPBot1,EPBot3,EPBot2,EPBot4,"3N N =",600,0.00%,"3N NS",600,0,"Par was bid",-
182,2024.07.20,182,EPBot1,EPBot3,EPBot2,EPBot4,"2H N =",110,0.00%,"1S NS+1",110,0,"We missed partial",+1
183,2024.07.20,183,EPBot1,EPBot3,EPBot2,EPBot4,"3N N =",400,0.00%,"3N NS",400,0,"Par was bid",-
184,2024.07.20,184,EPBot1,EPBot3,EPBot2,EPBot4,"3N N =",400,0.00%,"2D NS+2",130,7,"We missed partial",+1
185,2024.07.20,185,EPBot1,EPBot3,EPBot2,EPBot4,"3N N -1",-50,0.00%,"3N N+1",430,-10,"Par was bid",-2
186,2024.07.20,186,EPBot1,EPBot3,EPBot2,EPBot4,"3N N =",400,0.00%,"4H N",420,-1,"We missed best contract",-
187,2024.07.20,187,EPBot1,EPBot3,EPBot2,EPBot4,"3N N -2",-100,0.00%,"4SX EW-2",300,-9,"They missed sacrifice",-2
188,2024.07.20,188,EPBot1,EPBot3,EPBot2,EPBot4,"2N N =",120,0.00%,"3N NS",600,-10,"We missed game",-1
